score	kind	address	off	on	off_hex	on_hex	module	region_type	protect	region_base	region_size	region_file_off	region_file_on
41	float	0x000002898dc89290	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002898dc89360	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002898db20000	0x1dc000	region_0585_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin	region_0573_0x000002898db20000_0x1dc000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b4e68	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b4e70	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b4e74	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b50dc	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b58b0	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b58b8	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b5a70	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
41	float	0x000002899d7b5a74	1	3	0x3f800000	0x40400000		PRIVATE	READWRITE	0x000002899d73d000	0xd8000	region_1534_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin	region_1527_0x000002899d73d000_0xd8000_PRIVATE_READWRITE.bin
