base	size	type	protect	module	diff_pages	diff_bytes	diff_ratio	first_diff	entropy	file_off	file_on
0x00000289f38d0000	0x20000	PRIVATE	READWRITE		1	1	0.00000763	0x00000289f38d8000	6.147	region_6693_0x00000289f38d0000_0x20000_PRIVATE_READWRITE.bin	region_6701_0x00000289f38d0000_0x20000_PRIVATE_READWRITE.bin
0x00000289ff560000	0x20000	PRIVATE	READWRITE		1	1	0.00000763	0x00000289ff561000	4.238	region_6822_0x00000289ff560000_0x20000_PRIVATE_READWRITE.bin	region_6832_0x00000289ff560000_0x20000_PRIVATE_READWRITE.bin
0x00000289ffdb0000	0x20000	PRIVATE	READWRITE		1	1	0.00000763	0x00000289ffdb3000	1.075	region_6909_0x00000289ffdb0000_0x20000_PRIVATE_READWRITE.bin	region_6919_0x00000289ffdb0000_0x20000_PRIVATE_READWRITE.bin
0x000002899c900000	0x40000	PRIVATE	READWRITE		1	2	0.00000763	0x000002899c93e000	4.929	region_1510_0x000002899c900000_0x40000_PRIVATE_READWRITE.bin	region_1504_0x000002899c900000_0x40000_PRIVATE_READWRITE.bin
0x00000289da4c0000	0x40000	PRIVATE	READWRITE		1	2	0.00000763	0x00000289da4cd000	3.113	region_6083_0x00000289da4c0000_0x40000_PRIVATE_READWRITE.bin	region_6091_0x00000289da4c0000_0x40000_PRIVATE_READWRITE.bin
0x00000289e273b000	0x70000	PRIVATE	READWRITE		1	4	0.00000872	0x00000289e273b000	1.586	region_6238_0x00000289e273b000_0x70000_PRIVATE_READWRITE.bin	region_6246_0x00000289e273b000_0x70000_PRIVATE_READWRITE.bin
0x000002899da4c000	0x43000	PRIVATE	READWRITE		3	3	0.00001093	0x000002899da77000	1.305	region_1538_0x000002899da4c000_0x43000_PRIVATE_READWRITE.bin	region_1531_0x000002899da4c000_0x43000_PRIVATE_READWRITE.bin
0x000002899aa40000	0x40000	PRIVATE	READWRITE		1	3	0.00001144	0x000002899aa5b000	6.675	region_1036_0x000002899aa40000_0x40000_PRIVATE_READWRITE.bin	region_1030_0x000002899aa40000_0x40000_PRIVATE_READWRITE.bin
0x00000289e2b21000	0x51000	PRIVATE	READWRITE		1	4	0.00001206	0x00000289e2b21000	1.804	region_6247_0x00000289e2b21000_0x51000_PRIVATE_READWRITE.bin	region_6255_0x00000289e2b21000_0x51000_PRIVATE_READWRITE.bin
0x00007ff420a40000	0xc0000	PRIVATE	READWRITE		3	10	0.00001272	0x00007ff420a40000	0.621	region_7237_0x00007ff420a40000_0xc0000_PRIVATE_READWRITE.bin	region_7247_0x00007ff420a40000_0xc0000_PRIVATE_READWRITE.bin
0x00000289e25f2000	0x98000	PRIVATE	READWRITE		4	8	0.00001285	0x00000289e2657000	1.398	region_6236_0x00000289e25f2000_0x98000_PRIVATE_READWRITE.bin	region_6244_0x00000289e25f2000_0x98000_PRIVATE_READWRITE.bin
0x00007ff779eb7000	0x4036000	IMAGE	READWRITE	SC2_x64.exe	32	900	0.00001337	0x00007ff779eb7000	0.361	region_7298_0x00007ff779eb7000_0x4036000_IMAGE_READWRITE.bin	region_7308_0x00007ff779eb7000_0x4036000_IMAGE_READWRITE.bin
0x00000289823c0000	0x10000	PRIVATE	READWRITE		1	1	0.00001526	0x00000289823c1000	0.421	region_0217_0x00000289823c0000_0x10000_PRIVATE_READWRITE.bin	region_0205_0x00000289823c0000_0x10000_PRIVATE_READWRITE.bin
0x00000289824a0000	0x10000	PRIVATE	READWRITE		1	1	0.00001526	0x00000289824ab000	0.880	region_0225_0x00000289824a0000_0x10000_PRIVATE_READWRITE.bin	region_0213_0x00000289824a0000_0x10000_PRIVATE_READWRITE.bin
0x00000289825c0000	0x10000	PRIVATE	READWRITE		1	1	0.00001526	0x00000289825c7000	1.118	region_0236_0x00000289825c0000_0x10000_PRIVATE_READWRITE.bin	region_0224_0x00000289825c0000_0x10000_PRIVATE_READWRITE.bin
