file	base	allocation_base	size	bytes_read	protect	type
region_0040_0x000000af4463e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4463e000	0x000000af44540000	0x2000	0x2000	READWRITE	PRIVATE
region_0041_0x000000af446c0000_0x80000_PRIVATE_READWRITE.bin	0x000000af446c0000	0x000000af44640000	0x80000	0x80000	READWRITE	PRIVATE
region_0042_0x000000af4483e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4483e000	0x000000af44740000	0x2000	0x2000	READWRITE	PRIVATE
region_0043_0x000000af448c0000_0x80000_PRIVATE_READWRITE.bin	0x000000af448c0000	0x000000af44840000	0x80000	0x80000	READWRITE	PRIVATE
region_0044_0x000000af44940000_0x100000_PRIVATE_READWRITE.bin	0x000000af44940000	0x000000af44940000	0x100000	0x100000	READWRITE	PRIVATE
region_0045_0x000000af44a40000_0x100000_PRIVATE_READWRITE.bin	0x000000af44a40000	0x000000af44a40000	0x100000	0x100000	READWRITE	PRIVATE
region_0046_0x000000af44b40000_0x100000_PRIVATE_READWRITE.bin	0x000000af44b40000	0x000000af44b40000	0x100000	0x100000	READWRITE	PRIVATE
region_0047_0x000000af44d00000_0x40000_PRIVATE_READWRITE.bin	0x000000af44d00000	0x000000af44c40000	0x40000	0x40000	READWRITE	PRIVATE
region_0048_0x000000af44e3c000_0x4000_PRIVATE_READWRITE.bin	0x000000af44e3c000	0x000000af44d40000	0x4000	0x4000	READWRITE	PRIVATE
region_0049_0x000000af44f00000_0x40000_PRIVATE_READWRITE.bin	0x000000af44f00000	0x000000af44e40000	0x40000	0x40000	READWRITE	PRIVATE
region_0050_0x000000af45000000_0x40000_PRIVATE_READWRITE.bin	0x000000af45000000	0x000000af44f40000	0x40000	0x40000	READWRITE	PRIVATE
region_0051_0x000000af4513b000_0x5000_PRIVATE_READWRITE.bin	0x000000af4513b000	0x000000af45040000	0x5000	0x5000	READWRITE	PRIVATE
region_0052_0x000000af4523e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4523e000	0x000000af45140000	0x2000	0x2000	READWRITE	PRIVATE
region_0053_0x000000af4533e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4533e000	0x000000af45240000	0x2000	0x2000	READWRITE	PRIVATE
region_0054_0x000000af4543e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4543e000	0x000000af45340000	0x2000	0x2000	READWRITE	PRIVATE
region_0055_0x000000af4553e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4553e000	0x000000af45440000	0x2000	0x2000	READWRITE	PRIVATE
region_0056_0x000000af4563e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4563e000	0x000000af45540000	0x2000	0x2000	READWRITE	PRIVATE
region_0057_0x000000af4573e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4573e000	0x000000af45640000	0x2000	0x2000	READWRITE	PRIVATE
region_0058_0x000000af4583e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4583e000	0x000000af45740000	0x2000	0x2000	READWRITE	PRIVATE
region_0059_0x000000af4593e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4593e000	0x000000af45840000	0x2000	0x2000	READWRITE	PRIVATE
region_0060_0x000000af45a3e000_0x2000_PRIVATE_READWRITE.bin	0x000000af45a3e000	0x000000af45940000	0x2000	0x2000	READWRITE	PRIVATE
region_0061_0x000000af45b3e000_0x2000_PRIVATE_READWRITE.bin	0x000000af45b3e000	0x000000af45a40000	0x2000	0x2000	READWRITE	PRIVATE
region_0062_0x000000af45c3e000_0x2000_PRIVATE_READWRITE.bin	0x000000af45c3e000	0x000000af45b40000	0x2000	0x2000	READWRITE	PRIVATE
region_0063_0x000000af45d3e000_0x2000_PRIVATE_READWRITE.bin	0x000000af45d3e000	0x000000af45c40000	0x2000	0x2000	READWRITE	PRIVATE
region_0064_0x000000af45e3e000_0x2000_PRIVATE_READWRITE.bin	0x000000af45e3e000	0x000000af45d40000	0x2000	0x2000	READWRITE	PRIVATE
region_0065_0x000000af45f3e000_0x2000_PRIVATE_READWRITE.bin	0x000000af45f3e000	0x000000af45e40000	0x2000	0x2000	READWRITE	PRIVATE
region_0066_0x000000af4603e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4603e000	0x000000af45f40000	0x2000	0x2000	READWRITE	PRIVATE
region_0067_0x000000af4613e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4613e000	0x000000af46040000	0x2000	0x2000	READWRITE	PRIVATE
region_0068_0x000000af4623e000_0x2000_PRIVATE_READWRITE.bin	0x000000af4623e000	0x000000af46140000	0x2000	0x2000	READWRITE	PRIVATE
